GUID,GEOGID,GEOGDESC,Reference Geography,ED_GUID,ED_ID_STR,ED_ENGLISH,ED_GAEILGE,ED_OFFICIAL,LEA_GUID,CSO_LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation) ,Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Professional workers - Males,Managerial and technical - Males,Non-manual - Males,Skilled manual - Males,Semi-skilled - Males,Unskilled - Males,All others gainfully occupied and unknown - Males,Total - Males,Professional workers - Females,Managerial and technical - Females,Non-manual - Females,Skilled manual - Females,Semi-skilled - Females,Unskilled - Females,All others gainfully occupied and unknown - Females,Total - Females,Professional workers - Total,Managerial and technical - Total,Non-manual - Total,Skilled manual - Total,Semi-skilled - Total,Unskilled - Total,All others gainfully occupied and unknown - Total,Total,ObjectId
2ae19629-16c2-13a3-e055-000000000001,2ae19629-16c2-13a3-e055-000000000001,CLASH,CSO ED-2022,2ae19629-16c2-13a3-e055-000000000001,107027,CLASH,AN CHLAIS,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,170,202,372,118,2,1,9,130,15136000,Sq Metres,15136309.928009,20233.0873382879,2ae19629-16c2-13a3-e055-000000000001,8,71,32,47,13,3,28,202,3,74,42,13,5,1,32,170,11,145,74,60,18,4,60,372,11
2ae19629-16c4-13a3-e055-000000000001,2ae19629-16c4-13a3-e055-000000000001,CLONDARRIG,CSO ED-2022,2ae19629-16c4-13a3-e055-000000000001,107029,CLONDARRIG,CLUAIN DEARG,Y,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,1407,1346,2753,887,9,1,64,961,15190000,Sq Metres,15190181.6212769,19922.0796053353,2ae19629-16c4-13a3-e055-000000000001,92,426,188,250,164,51,175,1346,83,477,296,155,153,44,199,1407,175,903,484,405,317,95,374,2753,12
2ae19629-16c5-13a3-e055-000000000001,2ae19629-16c5-13a3-e055-000000000001,CLONIN,CSO ED-2022,2ae19629-16c5-13a3-e055-000000000001,107030,CLONIN,AN CLUAINÍN,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,122,121,243,83,1,3,6,93,13270000,Sq Metres,13270431.3691406,20038.3171650165,2ae19629-16c5-13a3-e055-000000000001,5,25,26,32,18,3,12,121,5,42,32,12,16,2,13,122,10,67,58,44,34,5,25,243,13
2ae19629-16c7-13a3-e055-000000000001,2ae19629-16c7-13a3-e055-000000000001,CLONMORE,CSO ED-2022,2ae19629-16c7-13a3-e055-000000000001,107032,CLONMORE,CLUAIN MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,98,117,215,75,1,2,16,94,15268000,Sq Metres,15267816.6131592,21020.2509531455,2ae19629-16c7-13a3-e055-000000000001,11,37,16,23,13,3,14,117,10,34,17,8,7,2,20,98,21,71,33,31,20,5,34,215,14
2ae19629-16c8-13a3-e055-000000000001,2ae19629-16c8-13a3-e055-000000000001,COLT,CSO ED-2022,2ae19629-16c8-13a3-e055-000000000001,107033,COLT,COLT,Y,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,89,91,180,68,0,2,4,74,10136000,Sq Metres,10135547.8406067,16200.6583122009,2ae19629-16c8-13a3-e055-000000000001,1,31,14,24,5,4,12,91,0,43,17,11,8,1,9,89,1,74,31,35,13,5,21,180,15
2ae19629-16cb-13a3-e055-000000000001,2ae19629-16cb-13a3-e055-000000000001,KILLABBAN,CSO ED-2022,2ae19629-16cb-13a3-e055-000000000001,107058,KILLABBAN,CILL ABÁIN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,218,238,456,158,3,3,10,174,12701000,Sq Metres,12701108.7667236,20043.8119973593,2ae19629-16cb-13a3-e055-000000000001,22,81,31,61,21,7,15,238,15,82,50,30,19,4,18,218,37,163,81,91,40,11,33,456,16
2ae19629-16ce-13a3-e055-000000000001,2ae19629-16ce-13a3-e055-000000000001,KILMURRY,CSO ED-2022,2ae19629-16ce-13a3-e055-000000000001,107061,KILMURRY,CILL MHUIRE,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,154,151,305,91,4,0,5,100,9335000,Sq Metres,9335163.01541138,14141.6088714563,2ae19629-16ce-13a3-e055-000000000001,16,59,25,25,11,3,12,151,13,67,29,8,24,1,12,154,29,126,54,33,35,4,24,305,17
2ae19629-16d1-13a3-e055-000000000001,2ae19629-16d1-13a3-e055-000000000001,DUNMORE,CSO ED-2022,2ae19629-16d1-13a3-e055-000000000001,107043,DUNMORE,AN DÚN MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,146,138,284,94,1,0,4,99,10411000,Sq Metres,10411112.6142578,18044.2040170465,2ae19629-16d1-13a3-e055-000000000001,20,46,16,26,12,2,16,138,10,66,31,10,13,0,16,146,30,112,47,36,25,2,32,284,18
2ae19629-16d8-13a3-e055-000000000001,2ae19629-16d8-13a3-e055-000000000001,GARRYMORE,CSO ED-2022,2ae19629-16d8-13a3-e055-000000000001,107050,GARRYMORE,AN GARRAÍ MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,125,139,264,72,2,2,9,85,11929000,Sq Metres,11929272.1190186,19788.7080173747,2ae19629-16d8-13a3-e055-000000000001,16,49,16,28,10,4,16,139,6,55,31,9,8,1,15,125,22,104,47,37,18,5,31,264,19
2ae19629-16d9-13a3-e055-000000000001,2ae19629-16d9-13a3-e055-000000000001,GRAIGUE,CSO ED-2022,2ae19629-16d9-13a3-e055-000000000001,107051,GRAIGUE,AN GHRÁIG,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,128,136,264,89,1,1,12,103,14014000,Sq Metres,14014031.3768921,17781.3971627273,2ae19629-16d9-13a3-e055-000000000001,13,30,22,29,15,6,21,136,8,48,23,8,20,5,16,128,21,78,45,37,35,11,37,264,20
