application_number,latitude,longitude
2548/20,53.3863092,-6.16058
WEB1083/20,53.30767119999999,-6.264985999999999
4792/19,53.3450169,-6.2748751
WEB1190/20,53.3430569,-6.3554035
2278/20,53.3973594,-6.187072
WEB1196/20,53.364643,-6.213087199999999
4800/19,53.3637346,-6.1814978
2585/20,53.3268909,-6.291539299999999
WEB1090/20,53.3649789,-6.3113765
2602/20,53.3750947,-6.3178358
2291/20,53.36358749999999,-6.237577
2594/20,53.3987557,-6.183474599999999
WEB1012/20,53.3089249,-6.2645804
2312/20,53.3904156,-6.2617293
4838/19,53.3424238,-6.3261734
4818/19,53.3567052,-6.2308732
2305/20,53.3791648,-6.3038465
2306/20,53.38131079999999,-6.309711999999999
4826/19,53.3425644,-6.2439492
DSDZ2626/20,53.3490976,-6.2322225
2320/20,53.3355283,-6.2442901
2007/20,53.3296682,-6.233632399999999
2625/20,53.3792659,-6.1682384
2329/20,53.321073,-6.231280399999999
WEB1016/20,53.39361479999999,-6.169989699999999
2336/20,53.33488130000001,-6.3148912
2334/20,53.3351026,-6.231886299999999
2338/20,53.3545033,-6.2693204
2627/20,53.3191757,-6.2925071
2623/20,53.3415325,-6.2538916
WEB1109/20,53.3427303,-6.2756032
WEB1114/20,53.3204161,-6.2711552
2028/20,53.3632235,-6.187859700000001
2645/20,53.3458125,-6.2554881
2651/20,53.3484266,-6.2813247
2040/20,53.3370344,-6.2612996
2648/20,53.36578369999999,-6.1849691
2368/20,53.3490267,-6.2656816
2363/20,53.32808139999999,-6.3048947
2660/20,53.3532236,-6.2604486
WEB1118/20,53.3581078,-6.2422683
WEB1124/20,53.3458924,-6.359365
2062/20,53.32857869999999,-6.2288803
WEB1238/20,53.379622,-6.2052637
2371/20,53.31982259999999,-6.2296169
2076/20,53.3202691,-6.213169
2078/20,53.3695517,-6.1990932
WEB1245/20,53.3148049,-6.283556
2394/20,53.3755106,-6.209464
2080/20,53.3329754,-6.269175799999999
WEB1249/20,53.3209647,-6.2523189
2687/20,53.33264980000001,-6.263532
WEB1253/20,53.3860736,-6.168228000000001
WEB1252/20,53.3804549,-6.2764446
WEB1257/20,53.3830417,-6.1786319
WEB1135/20,53.3261441,-6.325342699999999
2096/20,53.3189964,-6.2846972
2683/20,53.37071599999999,-6.3240821
2435/20,53.3602656,-6.2767753
2110/20,53.3324715,-6.2755057
2107/20,53.33264980000001,-6.263532
2697/20,53.3505493,-6.2097172
2437/20,53.3501932,-6.257488299999999
2709/20,53.3342455,-6.2686026
2422/20,53.3955362,-6.1747312
2147/20,53.3376587,-6.283739
WEB1145/20,53.36791419999999,-6.192500400000001
2712/20,53.3311588,-6.214109199999999
WEB1065/20,53.3385705,-6.265826800000001
2189/20,53.320321,-6.2484946
2448/20,53.3213987,-6.2543609
2114/20,53.3327509,-6.2441762
DSDZ2125/20,53.3476378,-6.2617427
WEB1047/20,53.38211279999999,-6.2103507
2135/20,53.35208189999999,-6.351110599999999
WEB1288/20,53.3589035,-6.2912043
2472/20,53.381199,-6.1740968
2434/20,53.3431831,-6.350507299999999
2731/20,53.3739852,-6.2482843
DSDZ2734/20,53.349129,-6.2353
3792/20,53.3388718,-6.2624435
WEB1870/20,53.3135555,-6.2919455
3797/20,53.34254790000001,-6.311416899999999
3793/20,53.3280074,-6.260402399999999
3805/20,53.3810948,-6.1734482
3825/20,53.33521349999999,-6.220800499999999
3818/20,53.3640732,-6.3139414
3843/20,53.3360546,-6.2301014
3846/20,53.3088685,-6.293502399999999
3829/20,53.3428045,-6.277393099999999
3833/20,53.3597981,-6.2470627
WEB1915/20,53.3136574,-6.2731452
3863/20,53.35969249999999,-6.278174000000001
WEB1927/20,53.3694456,-6.235888699999999
3838/20,53.403977,-6.2125756
3871/20,53.3229854,-6.272799699999999
WEB1934/20,53.3176599,-6.324356
3890/20,53.3768666,-6.230323299999999
3882/20,53.3775467,-6.221912199999999
3891/20,53.3191271,-6.247511500000001
3902/20,53.3758139,-6.2984909
WEB1949/20,53.3767068,-6.2020107
3920/20,53.3780386,-6.198456699999999
WEB1960/20,53.3317715,-6.285512
3942/20,53.35504049999999,-6.268822699999999
3944/20,53.3233145,-6.244579
3931/20,53.3357219,-6.2993445
WEB1975/20,53.36434130000001,-6.2087059
3941/20,53.3322919,-6.3659583
WEB1994/20,53.3089249,-6.2645804
WEB1985/20,53.3754859,-6.2691648
WEB2000/20,53.3691869,-6.2566565
WEB1996/20,53.3659614,-6.296853
3989/20,53.36354739999999,-6.258907799999999
WEB1010/21,53.366254,-6.3215206
3984/20,53.374699,-6.3310593
3996/20,53.392387,-6.289578499999999
4014/20,53.3504575,-6.253939700000001
4012/20,53.3519028,-6.3535749
4020/20,53.3631779,-6.207418
4027/20,53.3516877,-6.2591538
WEB1690/20,53.3775187,-6.1726461
WEB1296/20,53.3668439,-6.2605694
3241/20,53.3529376,-6.247696899999999
2752/20,53.37809720000001,-6.1890711
3561/20,53.39340559999999,-6.1854721
3002/20,53.31917559999999,-6.3001909
WEB1449/20,53.3828731,-6.1654649
WEB1297/20,53.3730805,-6.21033
WEB1307/20,53.3768796,-6.2370959
3582/20,53.3399429,-6.234250599999999
3009/20,53.38377759999999,-6.1632821
3006/20,53.3437575,-6.226336799999999
3014/20,53.3748477,-6.2609458
WEB1715/20,53.3662181,-6.2015357
WEB1455/20,53.3530448,-6.289924
3018/20,53.3334713,-6.244633599999999
2761/20,53.3418454,-6.3074118
3586/20,53.3519762,-6.248480799999999
WEB1716/20,53.3795229,-6.233357199999999
3285/20,53.3355074,-6.244728100000001
3579/20,53.3396079,-6.2585684
2771/20,53.3310873,-6.2820702
WEB1723/20,53.3776095,-6.226909699999999
3268/20,53.3631465,-6.3024894
WEB1602/20,53.372901,-6.3108132
WEB1333/20,53.3777038,-6.161828499999999
WEB1598/20,53.3795746,-6.181079899999999
3277/20,53.3512474,-6.2520457
3033/20,53.3360711,-6.282021299999999
WEB1475/20,53.3567019,-6.2361992
WEB1731/20,53.3638384,-6.263554699999999
3593/20,53.3198352,-6.2451876
3291/20,53.3437154,-6.2884395
3606/20,53.34119829999999,-6.3067158
3296/20,53.3415844,-6.335404899999999
WEB1345/20,53.3804689,-6.314123
WEB1611/20,53.3285583,-6.2374636
WEB1336/20,53.3237537,-6.266764100000001
3040/20,53.3440042,-6.224832
2786/20,53.3998003,-6.2906653
2782/20,53.3174982,-6.269150199999999
2810/20,53.38239489999999,-6.246262799999999
3602/20,53.3344137,-6.290670599999999
WEB1614/20,53.3224951,-6.214959899999999
2799/20,53.3274807,-6.2617273
WEB1489/20,53.34338529999999,-6.2232311
3629/20,53.31739820000001,-6.2879858
2807/20,53.38174739999999,-6.290575700000001
3618/20,53.36010959999999,-6.265245999999999
2827/20,53.3474958,-6.277155899999999
3087/20,53.3686539,-6.2288987
3324/20,53.3884828,-6.2349504
2817/20,53.31542710000001,-6.2604542
3328/20,53.3900657,-6.257586499999999
3642/20,53.3947339,-6.1571722
3093/20,53.3880442,-6.313134799999999
WEB1763/20,53.36613,-6.3003357
3098/20,53.3286931,-6.236857499999999
WEB1355/20,53.3637794,-6.314948999999999
WEB1508/20,53.34338529999999,-6.2232311
3655/20,53.3772275,-6.237397
2865/20,53.3553795,-6.261605599999999
2840/20,53.334247,-6.223667799999999
3113/20,53.3054747,-6.275014199999999
2854/20,53.3886236,-6.1974316
WEB1515/20,53.3710264,-6.3192001
3622/20,53.3845505,-6.2042785
WEB1375/20,53.36317099999999,-6.3042545
WEB1373/20,53.3581078,-6.2422683
WEB1724/20,53.3897164,-6.309595300000001
WEB1525/20,53.3790893,-6.2657226
WEB1378/20,53.3804689,-6.314123
3125/20,53.33282939999999,-6.2654901
3682/20,53.3348598,-6.276817899999999
3681/20,53.3858631,-6.2496173
3120/20,53.3905184,-6.196803399999999
WEB1774/20,53.3287503,-6.2092222
WEB1538/20,53.37520869999999,-6.176756399999999
3145/20,53.3298888,-6.2220418
2885/20,53.3324212,-6.216094
WEB1381/20,53.38100499999999,-6.230639
WEB1786/20,53.3901538,-6.2489912
3345/20,53.372107,-6.267396
3357/20,53.3985579,-6.1635731
2888/20,53.3792208,-6.2811507
3688/20,53.3498053,-6.2603097
WEB1393/20,53.3557962,-6.267964999999999
2893/20,53.3308946,-6.2523984
WEB1791/20,53.335475,-6.2431021
2913/20,53.3954604,-6.258035899999999
3153/20,53.33383869999999,-6.2509346
3342/20,53.345409,-6.259493
3360/20,53.3483313,-6.2559502
3158/20,53.33410170000001,-6.318039199999999
WEB1624/20,53.3781706,-6.2298597
2915/20,53.339561,-6.269047599999999
WEB1622/20,53.3204161,-6.2711552
2924/20,53.3644158,-6.190999
3167/20,53.3329365,-6.2632089
WEB1396/20,53.3208229,-6.2553819
3378/20,53.3931622,-6.2789979
3717/20,53.3892237,-6.318931399999999
WEB1406/20,53.3655778,-6.2069792
WEB1824/20,53.38465249999999,-6.2079467
WEB1551/20,53.36403970000001,-6.181145799999999
3729/20,53.3594051,-6.1937875
3184/20,53.3283406,-6.2595509
WEB1559/20,53.3210103,-6.2094432
2933/20,53.3264048,-6.255868
WEB1557/20,53.3580538,-6.2423366
WEB1561/20,53.3435304,-6.262538999999999
WEB1833/20,53.3670137,-6.2970647
WEB1421/20,53.3857398,-6.232175799999999
2954/20,53.3315,-6.2756248
3733/20,53.3505493,-6.2097172
WEB1571/20,53.3942298,-6.2256331
2953/20,53.38587270000001,-6.221879599999999
WEB1839/20,53.3628785,-6.185251699999999
3204/20,53.353423,-6.2700439
2961/20,53.3176372,-6.3225682
3217/20,53.33687219999999,-6.2762115
WEB1427/20,53.3723249,-6.286253299999999
WEB1429/20,53.4003799,-6.2314059
WEB1579/20,53.3343168,-6.2165931
3220/20,53.3907807,-6.1833268
WEB1852/20,53.3823459,-6.1779625
2973/20,53.3853859,-6.2651986
3223/20,53.3954386,-6.2086727
2982/20,53.3871601,-6.2566741
3228/20,53.3267414,-6.3427377
3227/20,53.3314673,-6.3115041
WEB1584/20,53.372901,-6.3108132
3225/20,53.3185728,-6.3198153
WEB1587/20,53.3780594,-6.229371899999999
WEB1859/20,53.375521,-6.2479568
WEB1866/20,53.3840718,-6.2676865
3383/20,53.3224951,-6.214959899999999
3386/20,53.36854330000001,-6.203033
DSDZ3389/20,53.3419963,-6.2413134
3404/20,53.32862060000001,-6.3440295
WEB1640/20,53.3259884,-6.2142854
3434/20,53.336008,-6.2393342
3421/20,53.372487,-6.318599
3430/20,53.3394165,-6.301809599999999
3447/20,53.3428254,-6.352538399999999
3456/20,53.3804661,-6.264621099999999
WEB1653/20,53.3489604,-6.348190199999999
WEB1655/20,53.3409278,-6.2426096
WEB1662/20,53.3708486,-6.2356888
3488/20,53.33979249999999,-6.3242628
WEB1665/20,53.33456229999999,-6.235894399999999
3494/20,53.3336877,-6.3499387
3484/20,53.3418503,-6.2566935
3519/20,53.3923516,-6.240689799999999
3510/20,53.3305821,-6.2139393
WEB1681/20,53.3282158,-6.2741037
WEB1684/20,53.390609,-6.2904642
WEB1692/20,53.37059619999999,-6.2965516
3537/20,53.38185439999999,-6.176366499999999
2975/21,53.3443656,-6.365149199999999
2995/21,53.3422358,-6.2621826
2967/21,53.3921049,-6.2939963
2979/21,53.3772979,-6.2873279
3004/21,53.3313931,-6.2518672
WEB1682/21,53.3213929,-6.3323336
3005/21,53.3332426,-6.2341251
WEB1689/21,53.3818332,-6.319278300000001
3018/21,53.3961333,-6.2411638
3027/21,53.33585679999999,-6.2540416
WEB1700/21,53.32527,-6.2387302
3035/21,53.3422358,-6.2621826
3055/21,53.36633879999999,-6.2313363
WEB1713/21,53.3216331,-6.210518100000001
WEB1718/21,53.363101,-6.1814959
3064/21,53.353361,-6.235421
WEB1725/21,53.33353590000001,-6.2802511
3072/21,53.3735001,-6.208110899999999
3088/21,53.3505027,-6.2671892
WEB1736/21,53.3726364,-6.2224229
3077/21,53.3716787,-6.324381799999999
WEB1745/21,53.3303466,-6.3119999
WEB1744/21,53.36903599999999,-6.1941353
WEB1749/21,53.3689829,-6.188555099999999
3129/21,53.3185156,-6.2372697
3124/21,53.3628174,-6.2379896
3136/21,53.3490249,-6.24561
3143/21,53.3865742,-6.252544299999999
3147/21,53.3776818,-6.3211818
WEB1770/21,53.3662526,-6.270862
3155/21,53.3666892,-6.213260099999999
3177/21,53.3666158,-6.1978943
3179/21,53.3738801,-6.331319
WEB1778/21,53.3668247,-6.1981354
3186/21,53.3636979,-6.3080937
3202/21,53.30771009999999,-6.2926737
3209/21,53.35576409999999,-6.2879295
WEB1792/21,53.35159669999999,-6.3693751
3218/21,53.3615444,-6.285861199999999
3221/21,53.3392778,-6.2564432
WEB1806/21,53.3627967,-6.1894361
2007/21,53.3602634,-6.2918698
WEB1510/21,53.3206949,-6.2106597
WEB1337/21,53.3886941,-6.2369539
2504/21,53.3324424,-6.31248
2526/21,53.31423179999999,-6.2586738
WEB1358/21,53.3573049,-6.239669800000001
2516/21,53.3523124,-6.2640296
2532/21,53.375244,-6.313874999999999
WEB1362/21,53.3294307,-6.222324599999999
WEB1372/21,53.3779694,-6.2288568
2549/21,53.32778039999999,-6.3095438
WEB1374/21,53.3592427,-6.2419239
2561/21,53.3246399,-6.2538046
2581/21,53.36859219999999,-6.2240335
2580/21,53.4058035,-6.1709128
WEB1395/21,53.37754049999999,-6.260262
WEB1402/21,53.3343477,-6.2768859
2584/21,53.3992553,-6.1726396
2589/21,53.3938498,-6.202967
2596/21,53.3604192,-6.2707176
WEB1419/21,53.35411730000001,-6.237156799999999
WEB1427/21,53.3206092,-6.251030699999999
WEB1428/21,53.3189479,-6.3338673
WEB1440/21,53.3431945,-6.2262528
2632/21,53.3765386,-6.2077288
WEB1445/21,53.3162335,-6.276486299999999
DSDZ2626/21,53.348782,-6.237127
2634/21,53.3793587,-6.241112299999999
WEB1461/21,53.3176768,-6.2375244
WEB1469/21,53.315706,-6.293100799999999
WEB1482/21,53.3921717,-6.3096568
2647/21,53.3411335,-6.278372399999999
2668/21,53.3738003,-6.2121166
2662/21,53.35469879999999,-6.251318700000001
2672/21,53.32725689999999,-6.2195965
WEB1497/21,53.3356754,-6.3603957
2678/21,53.4008164,-6.1585642
2714/21,53.36700339999999,-6.2691197
2698/21,53.3607603,-6.2795595
WEB1505/21,53.327912,-6.3042073
2729/21,53.3752333,-6.2119235
WEB1017/21,53.3889163,-6.2580746
WEB1168/21,53.3896466,-6.266983
4018/20,53.3343916,-6.250379
2275/21,53.325984,-6.208111799999999
2291/21,53.3662316,-6.1964299
2733/21,53.3519051,-6.297027399999999
WEB1021/21,53.3130622,-6.2541867
WEB1522/21,53.3228827,-6.2501102
2746/21,53.3361433,-6.248415199999999
WEB1184/21,53.31801309999999,-6.2237579
WEB1028/21,53.36837629999999,-6.2643833
2028/21,53.3219943,-6.2666401
WEB1031/21,53.3611361,-6.3066346
2292/21,53.3783042,-6.3021173
2754/21,53.363253,-6.2768511
2290/21,53.3787282,-6.2315159
2758/21,53.3653862,-6.227312599999999
WEB1033/21,53.32879440000001,-6.3029531
WEB1042/21,53.3221093,-6.325801299999999
WEB1194/21,53.3896466,-6.266983
2055/21,53.39726109999999,-6.192514699999999
2052/21,53.3771055,-6.1870895
WEB1542/21,53.3891268,-6.259236400000001
2309/21,53.3598902,-6.2958495
WEB1207/21,53.367164,-6.258593599999999
2777/21,53.3394147,-6.288326899999999
2308/21,53.3398639,-6.2617742
2057/21,53.33013640000001,-6.3219302
WEB1554/21,53.3656604,-6.2395426
2797/21,53.3666721,-6.2594005
2315/21,53.3714387,-6.241830299999999
2323/21,53.3362774,-6.241364900000001
4028/20,53.3259402,-6.2576912
2083/21,53.3408574,-6.2640836
2058/21,53.39947429999999,-6.170393499999999
2796/21,53.3355049,-6.2661801
2310/21,53.30905079999999,-6.260629499999999
2074/21,53.3444606,-6.3075062
WEB1070/21,53.317372,-6.2539069
WEB1224/21,53.3637619,-6.2120817
2091/21,53.3641284,-6.2117697
WEB1573/21,53.3836086,-6.245872299999999
2336/21,53.3238956,-6.3184037
WEB1579/21,53.3306338,-6.2672181
2801/21,53.3204394,-6.219627099999999
2347/21,53.33968970000001,-6.2341571
2811/21,53.3481213,-6.2846252
WEB1232/21,53.3369019,-6.3436977
2354/21,53.3383186,-6.327153
WEB1241/21,53.375998,-6.239205999999999
2355/21,53.3448964,-6.267796
WEB1584/21,53.3418442,-6.3446246
2359/21,53.3738003,-6.2121166
WEB1593/21,53.3151879,-6.303585699999999
2121/21,53.3738523,-6.222796
2135/21,53.3426944,-6.3122567
2825/21,53.3407318,-6.2798737
2127/21,53.3359544,-6.2859943
WEB1086/21,53.3065867,-6.272555199999999
WEB1246/21,53.37605509999999,-6.2138731
WEB1094/21,53.3658606,-6.1974918
WEB1262/21,53.3648631,-6.2962842
2378/21,53.4041023,-6.2007606
2384/21,53.3666322,-6.213267
2847/21,53.4002611,-6.2222624
WEB1264/21,53.3296039,-6.2397376
2382/21,53.3612093,-6.2829776
WEB1095/21,53.3350835,-6.2410293
WEB1618/21,53.3376653,-6.3486778
WEB1099/21,53.3801681,-6.233071499999999
2869/21,53.3950885,-6.2929491
2395/21,53.3479703,-6.2625772
2165/21,53.3579559,-6.2502986
WEB1273/21,53.346953,-6.2715163
2149/21,53.3136465,-6.2586824
2872/21,53.3605311,-6.2760161
2178/21,53.4042271,-6.2726839
WEB1631/21,53.37519320000001,-6.1645569
2398/21,53.3530461,-6.2299261
2186/21,53.3131236,-6.207601299999999
2882/21,53.35142,-6.279567999999999
WEB1116/21,53.3162216,-6.209469899999999
WEB1284/21,53.3652458,-6.2380644
WEB1286/21,53.3305422,-6.2748808
2430/21,53.3141324,-6.2722311
WEB1290/21,53.3829658,-6.2428905
2896/21,53.3273278,-6.2578359
2425/21,53.3318023,-6.254976699999999
2205/21,53.3661853,-6.264900099999999
WEB1640/21,53.3764598,-6.238975399999999
WEB1130/21,53.3220287,-6.3248675
2426/21,53.3573827,-6.243324599999999
2181/21,53.3352923,-6.244652400000001
2438/21,53.3250463,-6.2549813
2412/21,53.36463579999999,-6.198908299999999
WEB1298/21,53.3197927,-6.2293592
WEB1643/21,53.3214763,-6.3288213
2440/21,53.3424974,-6.311559799999999
2212/21,53.362951,-6.3098544
WEB1650/21,53.3877861,-6.2168534
2229/21,53.3353814,-6.2832666
2457/21,53.3714013,-6.269765599999999
WEB1140/21,53.3176768,-6.2375244
2949/21,53.32218,-6.2654194
2938/21,53.3731344,-6.2209054
WEB1308/21,53.3777165,-6.1832932
2461/21,53.4007041,-6.2156198
2232/21,53.3781704,-6.1788621
2952/21,53.3996916,-6.2096239
WEB1150/21,53.3780255,-6.2724278
WEB1314/21,53.3849969,-6.3041718
2250/21,53.3686905,-6.3184707
2264/21,53.3245045,-6.2418897
WEB1160/21,53.3671942,-6.2721655
WEB1664/21,53.3247166,-6.2191615
WEB1667/21,53.32990789999999,-6.2726529
2492/21,53.3339722,-6.2607262
WEB1336/21,53.369875,-6.2476748
3137/22,53.3248131,-6.238824999999999
WEB1938/21,53.3764598,-6.238975399999999
4075/21,53.3828639,-6.1697096
4084/21,53.3888814,-6.193120899999999
4068/21,53.3755858,-6.2482406
WEB5210/21,53.3119715,-6.2204901
4100/21,53.3747149,-6.25519
WEB5217/21,53.3355345,-6.2715058
PWSDZ4121/21,53.3388267,-6.213724099999999
DSDZ4109/21,53.3421962,-6.2306362
WEB5216/21,53.341046,-6.2569704
WEB5226/21,53.3532236,-6.2604486
WEB5236/21,53.3788181,-6.2197952
WEB5232/21,53.4016921,-6.1763735
4147/21,53.3327941,-6.2560459
4154/21,53.3232611,-6.262004699999999
4167/21,53.3417292,-6.2505957
4150/21,53.34198550000001,-6.2267719
4156/21,53.3814013,-6.268250699999999
4184/21,53.35636179999999,-6.2657646
4183/21,53.3387184,-6.3094818
4190/21,53.3497801,-6.2490267
4204/21,53.3873408,-6.2971515
WEB1021/22,53.4068737,-6.1556755
3011/22,53.3858429,-6.2589636
3027/22,53.3484625,-6.2676399
WEB1028/22,53.3683566,-6.2361514
3045/22,53.3655998,-6.2145882
3046/22,53.3633647,-6.2374243
3048/22,53.3365784,-6.291284
WEB1037/22,53.3632491,-6.2886171
3070/22,53.3501785,-6.2542537
WEB1042/22,53.37294240000001,-6.2028865
3100/22,53.3422119,-6.3324915
3110/22,53.3891059,-6.3185541
3121/22,53.4040983,-6.1818178
3157/22,53.3396416,-6.258403899999999
3138/22,53.3408442,-6.3131141
3160/22,53.3363638,-6.285293299999999
WEB1054/22,53.4057892,-6.165828899999999
3117/22,53.3086336,-6.2935685
3133/22,53.39243459999999,-6.1578084
3521/21,53.360597,-6.2714716
3525/21,53.3370413,-6.235886199999999
WEB1950/21,53.3660641,-6.3124728
3531/21,53.3255117,-6.2166332
3534/21,53.34997019999999,-6.2941682
WEB1962/21,53.3908353,-6.1861891
WEB1966/21,53.3311648,-6.326751400000001
3551/21,53.31423179999999,-6.2586738
3574/21,53.3275403,-6.2508344
WEB1970/21,53.3876858,-6.1540487
3580/21,53.343548,-6.2775927
3588/21,53.3197778,-6.290494900000001
3599/21,53.3844927,-6.2334252
3610/21,53.3191757,-6.2925071
WEB1981/21,53.3946796,-6.180971599999999
3626/21,53.3368482,-6.284091399999999
WEB1987/21,53.3901342,-6.2878782
3636/21,53.3658094,-6.1966129
WEB1995/21,53.38296889999999,-6.169492399999999
3648/21,53.3529376,-6.247696899999999
WEB5005/21,53.3769534,-6.210598
WEB5019/21,53.3216954,-6.2623866
WEB5018/21,53.38296889999999,-6.169492399999999
3661/21,53.3205751,-6.2156745
3677/21,53.3834384,-6.231122399999999
3674/21,53.3594057,-6.2616947
WEB5032/21,53.3216954,-6.2623866
3689/21,53.3633709,-6.3064227
3697/21,53.3768471,-6.2332868
3711/21,53.3699668,-6.2024624
3709/21,53.3579476,-6.2362725
WEB5043/21,53.3630717,-6.218776699999999
3738/21,53.33172769999999,-6.2748289
3737/21,53.3293938,-6.3253347
3755/21,53.3296789,-6.2305038
3752/21,53.3412583,-6.239707800000001
WEB5056/21,53.3577601,-6.2566761
3774/21,53.312119,-6.2386363
3775/21,53.332727,-6.239357699999999
3781/21,53.3948356,-6.2923833
WEB1063/22,53.3747048,-6.2532535
3234/21,53.3857592,-6.1464665
WEB5074/21,53.32046949999999,-6.2444519
3244/21,53.3715183,-6.2673263
3804/21,53.3857343,-6.1667076
WEB1816/21,53.36393109999999,-6.285541299999999
3171/22,53.3945523,-6.224823499999999
3809/21,53.3285209,-6.2589698
WEB1071/22,53.3200776,-6.266694999999999
WEB5079/21,53.3748194,-6.2283045
3182/22,53.3832495,-6.159117999999999
WEB1819/21,53.3827857,-6.2671452
3197/22,53.3513368,-6.257569699999999
3813/21,53.3448018,-6.3526688
WEB1828/21,53.38705239999999,-6.2799286
WEB1833/21,53.3652771,-6.277758299999999
3274/21,53.3367031,-6.2490299
WEB5093/21,53.3246362,-6.259103
WEB1829/21,53.3211547,-6.3169971
3833/21,53.4035131,-6.2203993
3824/21,53.3422267,-6.251811500000001
WEB1835/21,53.360757,-6.1931464
3823/21,53.3686278,-6.2241361
3299/21,53.338943,-6.3480398
WEB1089/22,53.324255,-6.3011479
3297/21,53.3920662,-6.2397622
3854/21,53.3223836,-6.2401724
3207/22,53.3581187,-6.285495099999999
3849/21,53.3550621,-6.2638718
3224/22,53.35319579999999,-6.270152299999999
WEB1847/21,53.3230223,-6.3115331
WEB1851/21,53.3483935,-6.3473831
WEB1101/22,53.36731529999999,-6.2226658
3317/21,53.3909374,-6.2346748
WEB1105/22,53.3550617,-6.2912211
WEB5112/21,53.3382871,-6.3273277
3324/21,53.3199848,-6.2078356
3871/21,53.385854,-6.1462684
3238/22,53.31185499999999,-6.219430099999999
WEB5110/21,53.3656128,-6.201735299999999
WEB5116/21,53.3532489,-6.282891999999999
WEB5119/21,53.3640757,-6.2666866
WEB1117/22,53.3073947,-6.300339
3341/21,53.3150803,-6.2225261
WEB5126/21,53.386378,-6.1697222
3348/21,53.3923576,-6.236060999999999
3349/21,53.3317645,-6.231965199999999
3255/22,53.3342991,-6.270451700000001
WEB1862/21,53.3804065,-6.1750943
3247/22,53.3317147,-6.3298181
3354/21,53.3238414,-6.272446599999999
3261/22,53.3985798,-6.210483399999999
3358/21,53.31986879999999,-6.2868053
3363/21,53.3920662,-6.2397622
3378/21,53.3302791,-6.223506599999999
3909/21,53.3603093,-6.2725102
3269/22,53.3961891,-6.294902
WEB5133/21,53.3352058,-6.3106931
WEB5135/21,53.3586636,-6.2522075
3368/21,53.3227087,-6.2615365
3285/22,53.3125313,-6.268152499999999
WEB1873/21,53.3907258,-6.2348808
3298/22,53.3739723,-6.2046461
3384/21,53.3851623,-6.2078269
WEB5146/21,53.3647517,-6.2893078
WEB1878/21,53.3876004,-6.1863817
WEB1143/22,53.4030928,-6.2803944
3932/21,53.3327349,-6.362744699999999
3302/22,53.3364428,-6.252746699999999
3943/21,53.3302703,-6.2419407
WEB1145/22,53.3688729,-6.198386699999999
WEB5151/21,53.3096784,-6.2998207
3325/22,53.33350679999999,-6.349503899999999
3938/21,53.34274,-6.241161
3329/22,53.3429714,-6.2630546
WEB1893/21,53.4057892,-6.165828899999999
3966/21,53.3394652,-6.375174899999999
3405/21,53.3407644,-6.242041299999999
3416/21,53.3599963,-6.2896997
3314/22,53.38068209999999,-6.230788700000001
3308/22,53.3114534,-6.2755736
WEB1153/22,53.3765302,-6.213751200000001
3973/21,53.3699235,-6.3242458
3342/22,53.3170091,-6.316877
WEB5165/21,53.3823587,-6.1777754
3976/21,53.3858183,-6.2664067
3434/21,53.34586909999999,-6.349882999999999
3357/22,53.39173109999999,-6.2302076
3436/21,53.3522738,-6.284443
3994/21,53.3595363,-6.2609601
WEB5174/21,53.3647517,-6.2893078
3351/22,53.40244,-6.216284
WEB1921/21,53.3325305,-6.3154984
3989/21,53.353126,-6.2377265
WEB1167/22,53.3861935,-6.219057599999999
3465/21,53.3946389,-6.2161433
3383/22,53.3808567,-6.247226
WEB5190/21,53.3678369,-6.1824669
3376/22,53.36821029999999,-6.1893454
WEB1169/22,53.318594,-6.285555500000001
3365/22,53.3145403,-6.2728684
3472/21,53.3344137,-6.290670599999999
3483/21,53.384916,-6.1554454
4022/21,53.35780949999999,-6.265429999999999
4015/21,53.3165548,-6.204576599999999
3487/21,53.3183788,-6.329632
WEB5194/21,53.3848794,-6.295161999999999
4040/21,53.3248131,-6.238824999999999
4035/21,53.35737959999999,-6.286393299999999
3491/21,53.3670238,-6.1968054
3495/21,53.3884154,-6.1825708
WEB1935/21,53.3923582,-6.2796768
4033/21,53.3165523,-6.259000899999999
WEB1189/22,53.3338593,-6.2178339
4051/21,53.316657,-6.206554000000001
4042/21,53.3980916,-6.2956702
3424/22,53.3654966,-6.2662227
WEB1195/22,53.34081579999999,-6.2231571
3429/22,53.339205,-6.2807403
WEB1690/22,53.3608905,-6.1955471
3977/22,53.3297623,-6.2607538
3455/22,53.3674779,-6.2986738
WEB1201/22,53.3136816,-6.2649203
3449/22,53.3307802,-6.3384128
3465/22,53.3431507,-6.2632865
3458/22,53.3347743,-6.282543
3484/22,53.3662377,-6.239399300000001
3487/22,53.36595879999999,-6.2119944
WEB1225/22,53.3878001,-6.216635999999999
3490/22,53.3595518,-6.1925412
WEB1220/22,53.342983,-6.2180102
3534/22,53.3198421,-6.2198592
WEB1244/22,53.38994650000001,-6.282936599999999
WEB1243/22,53.3367833,-6.219511799999999
WEB1247/22,53.3408695,-6.3127089
