application_number,latitude,longitude
2271/20,53.3955362,-6.1747312
4785/19,53.3323298,-6.241944500000001
2557/20,53.3313511,-6.2451541
WEB1085/20,53.369088,-6.2361797
WEB1011/20,53.33721569999999,-6.3118399
4810/19,53.3413104,-6.260226299999999
2593/20,53.3522216,-6.3483193
2293/20,53.3590278,-6.2918926
2292/20,53.3779481,-6.2789385
WEB1091/20,53.3831795,-6.166506200000001
4828/19,53.3591684,-6.2934325
2586/20,53.3261303,-6.2627162
2307/20,53.32447209999999,-6.2961866
WEB1009/20,53.3918674,-6.2390527
2600/20,53.40337570000001,-6.170459500000001
2615/20,53.3283145,-6.2618366
4827/19,53.3996803,-6.254876
WEB1207/20,53.3490978,-6.2642847
2631/20,53.3187717,-6.2699241
2323/20,53.3639114,-6.2569681
2325/20,53.3827589,-6.2277569
2601/20,53.3280835,-6.3050532
WEB1015/20,53.3329754,-6.269175799999999
2328/20,53.3687915,-6.22523
2639/20,53.33667999999999,-6.2871
WEB1102/20,53.3285181,-6.2257397
2633/20,53.3674015,-6.239661799999999
2029/20,53.3597007,-6.2756305
2346/20,53.3772604,-6.2175213
2642/20,53.332665,-6.220581399999999
WEB1222/20,53.36576849999999,-6.1963158
WEB1223/20,53.3705235,-6.239592
2356/20,53.3471126,-6.2638322
2034/20,53.3937377,-6.225212399999999
2037/20,53.353016,-6.2854281
2349/20,53.3999311,-6.2189212
2364/20,53.3223876,-6.2644082
2048/20,53.3608428,-6.1848546
2659/20,53.3351624,-6.2633002
2061/20,53.335209,-6.2477288
2043/20,53.3440042,-6.224832
2067/20,53.328939,-6.2272839
GSDZ2369/20,53.3577471,-6.287361499999999
WEB1125/20,53.3651315,-6.240369
2073/20,53.3721848,-6.2675369
2667/20,53.3342455,-6.2686026
2672/20,53.314527,-6.3102246
WEB1033/20,53.34846040000001,-6.2682397
2077/20,53.3264596,-6.2577153
WEB1247/20,53.3402507,-6.234918899999999
2403/20,53.3229854,-6.272799699999999
2681/20,53.3511331,-6.225641599999999
2392/20,53.3200316,-6.3320491
WEB1255/20,53.3649484,-6.218172399999999
2464/20,53.3383134,-6.254652999999999
2105/20,53.3150848,-6.2577696
2679/20,53.3171375,-6.2705119
WEB1140/20,53.3244722,-6.2622434
2405/20,53.3945465,-6.2051365
GSDZ2407/20,53.3537274,-6.2792177
2416/20,53.3323501,-6.273976999999999
2439/20,53.3784515,-6.2840454
WEB1270/20,53.3654293,-6.284150899999999
2131/20,53.3443147,-6.2681622
2700/20,53.32924850000001,-6.263242
2714/20,53.3247703,-6.256834899999999
2167/20,53.3343818,-6.217708099999999
2711/20,53.379919,-6.230257900000001
2704/20,53.3365405,-6.300034999999999
2445/20,53.369502,-6.258168
2112/20,53.3893661,-6.2497301
WEB1278/20,53.35504299999999,-6.237104
2127/20,53.3199489,-6.2581301
2456/20,53.3827589,-6.2277569
2724/20,53.3903221,-6.1779771
2476/20,53.310472,-6.291383000000001
2477/20,53.384649,-6.3003414
2730/20,53.3305793,-6.2300099
2142/20,53.3374209,-6.2649034
2157/20,53.3353393,-6.2660358
3534/20,53.3327941,-6.2560459
WEB1867/20,53.32371759999999,-6.208852299999999
WEB1878/20,53.4051062,-6.167587999999999
3822/20,53.3605759,-6.190932099999999
WEB1880/20,53.3813623,-6.1629827
3828/20,53.37073789999999,-6.325262400000001
3803/20,53.4035131,-6.2203993
3800/20,53.3843069,-6.1450787
3841/20,53.3201812,-6.2791251
WEB1901/20,53.3165618,-6.3042652
WEB1904/20,53.3307584,-6.3258544
WEB1898/20,53.3485526,-6.2928261
WEB1920/20,53.3611032,-6.193523799999999
3869/20,53.3884479,-6.276876199999999
3857/20,53.383626,-6.2906372
3876/20,53.338536,-6.3450574
WEB1932/20,53.3754859,-6.2691648
3892/20,53.3748252,-6.1965834
WEB1942/20,53.3255083,-6.2159339
WEB1945/20,53.32879440000001,-6.3029531
3905/20,53.3601595,-6.2024344
WEB1956/20,53.3159145,-6.2936827
3922/20,53.311077,-6.274270599999999
3928/20,53.3610376,-6.2561449
3932/20,-41.5390589,147.1988615
WEB1971/20,53.3659614,-6.296853
WEB1983/20,53.37593409999999,-6.183194599999999
WEB1977/20,53.3268359,-6.3147825
3953/20,53.3886046,-6.2827932
3960/20,53.3962031,-6.2445092
WEB1989/20,53.3901895,-6.2713123
3970/20,53.3571611,-6.254082
3980/20,53.3093545,-6.283504499999999
3978/20,53.3302391,-6.2738412
4029/20,53.3863518,-6.306203399999999
3998/20,53.36384899999999,-6.214610299999999
4002/20,53.3765995,-6.237187599999999
4011/20,53.3336663,-6.2504244
WEB1014/21,53.3353327,-6.222370799999999
2009/21,53.3633833,-6.221356999999999
WEB1445/20,53.3504476,-6.236071799999999
2723/20,53.3521041,-6.2477405
WEB1298/20,53.367259,-6.2077087
DSDZ3554/20,53.3504179,-6.238701799999999
3001/20,53.3279217,-6.224679
3562/20,53.3690975,-6.204970299999999
2997/20,53.3134254,-6.2842536
WEB1302/20,53.3836725,-6.2895138
WEB1452/20,53.3918315,-6.1632836
2733/20,53.3449195,-6.2493046
WEB1712/20,53.3514795,-6.250373499999999
2757/20,53.3722563,-6.2002832
WEB1308/20,53.3378263,-6.2286347
WEB1315/20,53.321775,-6.246184299999999
3022/20,53.3384631,-6.275990699999999
WEB1313/20,53.3657137,-6.2049465
3023/20,53.3609405,-6.286444299999999
WEB1456/20,53.3093685,-6.2569509
3021/20,53.3914154,-6.2750054
3584/20,53.35917689999999,-6.2603257
3286/20,53.3674851,-6.1742071
3585/20,53.3921516,-6.300181599999999
3038/20,53.3773124,-6.1720998
3597/20,53.3769963,-6.2916628
3588/20,53.3805257,-6.191767
WEB1605/20,53.3801914,-6.2038996
WEB1334/20,53.3350835,-6.2410293
3600/20,53.32273619999999,-6.2455162
WEB1727/20,53.3795229,-6.233357199999999
3034/20,53.330599,-6.2847201
3295/20,53.3261791,-6.256886000000001
2767/20,53.3122924,-6.279925899999999
WEB1732/20,53.3336708,-6.2783247
3045/20,53.3406268,-6.2625265
WEB1609/20,53.328424,-6.2523348
2769/20,53.3612777,-6.1977831
WEB1338/20,53.3226164,-6.281103099999999
3303/20,53.3217463,-6.266541699999999
3044/20,53.372238,-6.297687
2787/20,53.3195151,-6.2859029
3613/20,53.3634914,-6.2110302
3067/20,53.3763147,-6.1780531
2809/20,53.318076,-6.2742824
2813/20,53.3376398,-6.2291525
3306/20,53.3986306,-6.1690105
WEB1487/20,53.3957693,-6.206512
2806/20,53.3364686,-6.2652823
WEB1490/20,53.3569234,-6.2726904
WEB1494/20,53.3663362,-6.28407
2816/20,53.3350389,-6.2397421
3078/20,53.3499889,-6.2647379
3335/20,53.3358857,-6.257071
3314/20,53.3927817,-6.278066099999999
3076/20,53.3692169,-6.327419
WEB1500/20,53.3660352,-6.192079
2841/20,53.32589979999999,-6.208054100000001
WEB1354/20,53.33294129999999,-6.220011200000001
3102/20,53.3366732,-6.3180128
WEB1349/20,53.3589035,-6.2912043
3088/20,53.3461937,-6.250039399999999
2853/20,53.3502056,-6.258761
2867/20,53.32526679999999,-6.2100224
3109/20,53.3700498,-6.2538287
3107/20,53.3338434,-6.222064899999999
3628/20,53.382798,-6.23298
2857/20,53.35159669999999,-6.3693751
3318/20,53.3709212,-6.298238700000001
2868/20,53.33699499999999,-6.2658119
WEB1379/20,53.3860843,-6.3153111
WEB1769/20,53.3995709,-6.1512442
2864/20,53.3663268,-6.2912966
WEB1527/20,53.3348623,-6.332250699999999
WEB1360/20,53.3197664,-6.3289591
3326/20,53.3414344,-6.231809999999999
3676/20,53.3322504,-6.2751985
WEB1374/20,53.3661432,-6.2276511
WEB1776/20,53.3765964,-6.2573526
3124/20,53.3385015,-6.3617817
2875/20,53.3913544,-6.289733399999999
3142/20,53.3670714,-6.25565
3135/20,53.34384619999999,-6.2630507
WEB1785/20,53.3761902,-6.2252543
2876/20,53.3582873,-6.243493399999999
WEB1789/20,53.3190082,-6.2700624
3156/20,53.3537842,-6.2623647
WEB1783/20,53.3638528,-6.1894342
WEB1392/20,53.3880585,-6.2744483
3695/20,53.3208699,-6.268563299999999
WEB1794/20,53.3399236,-6.243763800000001
3712/20,53.3280074,-6.260402399999999
2908/20,53.3225798,-6.2634154
3157/20,53.35842779999999,-6.2282718
2895/20,53.3356978,-6.2686118
DSDZ3347/20,53.348782,-6.237127
3168/20,53.3732313,-6.2556786
WEB1625/20,53.319823,-6.3177666
3172/20,53.3755264,-6.163649599999999
DSDZ3350/20,53.3490976,-6.2322225
2930/20,53.3633708,-6.254078799999999
3343/20,53.345541,-6.2921936
WEB1394/20,53.39553429999999,-6.292059099999999
3373/20,53.39610339999999,-6.200294899999999
3180/20,53.3660261,-6.1869745
WEB1408/20,53.3244864,-6.254919699999999
3178/20,53.3825149,-6.361692
3723/20,53.3360041,-6.3053966
2936/20,53.3259425,-6.267158900000001
3739/20,53.321597,-6.2854541
3740/20,53.3674851,-6.1742071
3195/20,53.3313511,-6.2451541
WEB1560/20,53.3628282,-6.255160699999999
3724/20,53.3628811,-6.240279
WEB1565/20,53.4070536,-6.1571285
2951/20,53.3642629,-6.2043433
3727/20,53.3414321,-6.2648914
2962/20,53.3650102,-6.310509199999999
3746/20,53.382798,-6.23298
3218/20,53.35142,-6.279567999999999
WEB1836/20,53.3399236,-6.243763800000001
3351/20,53.33282939999999,-6.2654901
2959/20,53.3688008,-6.3170324
2960/20,53.3912201,-6.2431604
2966/20,53.3194948,-6.3371742
WEB1576/20,53.39366829999999,-6.289742
3753/20,53.39141559999999,-6.167282999999999
3219/20,53.3698598,-6.237734199999999
3759/20,53.33253509999999,-6.2222971
3382/20,53.38174739999999,-6.290575700000001
WEB1432/20,53.3828731,-6.1654649
3763/20,53.400454,-6.2057418
2985/20,53.3796926,-6.2638443
2993/20,53.31263329999999,-6.266769000000001
WEB1439/20,53.328424,-6.2523348
3243/20,53.3918348,-6.3068303
3782/20,53.34783059999999,-6.2585807
WEB1589/20,53.3543244,-6.237713299999999
3766/20,53.3781912,-6.2457321
WEB1637/20,53.3315933,-6.2107112
3392/20,53.3795942,-6.169298599999999
3387/20,53.3354177,-6.2174938
3399/20,53.3256038,-6.3055775
3409/20,53.3509008,-6.235797799999999
3413/20,53.33376999999999,-6.25428
WEB1648/20,53.3429647,-6.2596338
3436/20,53.33290849999999,-6.2205381
WEB1654/20,53.3775187,-6.1726461
3444/20,53.34045709999999,-6.2939319
3472/20,53.3339341,-6.2904095
3463/20,53.3745316,-6.214845100000001
WEB1661/20,53.3890541,-6.2477614
WEB1666/20,53.3480476,-6.2637203
3495/20,53.3475174,-6.2705281
3497/20,53.3296789,-6.2305038
WEB1677/20,53.3480476,-6.2637203
3512/20,53.3250203,-6.2762034
3500/20,53.3278847,-6.226929999999999
3527/20,53.3302754,-6.2699898
3539/20,53.3354177,-6.2174938
WEB1696/20,53.382827,-6.3210874
3545/20,53.3715415,-6.3141919
2974/21,53.3237665,-6.305304
WEB1673/21,53.3671328,-6.231980699999999
2980/21,53.3663714,-6.270815799999999
2991/21,53.3871541,-6.2260851
3010/21,53.314868,-6.2665485
3003/21,53.3262016,-6.3179544
WEB1685/21,53.3896835,-6.2374373
WEB1693/21,53.3689829,-6.188555099999999
WEB1696/21,53.3343853,-6.2351595
3028/21,53.33501279999999,-6.3287182
WEB1704/21,53.357136,-6.2408644
WEB1703/21,53.3170028,-6.2800993
WEB1709/21,53.318594,-6.285555500000001
3046/21,53.347922,-6.2635476
3061/21,53.3712983,-6.2880635
WEB1721/21,53.3970668,-6.272834400000001
3057/21,53.351374,-6.2551443
3086/21,53.3485111,-6.2776364
3068/21,53.3882019,-6.1806964
3090/21,53.3414087,-6.2711523
WEB1738/21,53.3869607,-6.188288099999999
3105/21,53.33585679999999,-6.2540416
WEB1752/21,53.3632637,-6.289795799999999
WEB1756/21,53.3648234,-6.272204899999999
3126/21,53.34267639999999,-6.2778366
WEB1760/21,53.3632637,-6.289795799999999
3140/21,53.3287335,-6.2524773
WEB1764/21,53.3822217,-6.210857499999999
3157/21,53.3214025,-6.2632413
3158/21,53.3414344,-6.231809999999999
3152/21,53.40199759999999,-6.164481599999999
3173/21,53.3913052,-6.296559999999999
3190/21,53.3642707,-6.3089281
DSDZ3194/21,53.348782,-6.237127
WEB1781/21,53.389329,-6.1552881
WEB1789/21,53.3232364,-6.254978299999999
3211/21,53.3839346,-6.232776599999999
WEB1796/21,53.3599963,-6.2896997
3231/21,53.3553246,-6.26472
WEB1804/21,53.3561787,-6.235992800000001
2725/21,53.3396772,-6.300930500000001
2008/21,53.3894011,-6.305067800000001
WEB1511/21,53.35804359999999,-6.2794637
WEB1345/21,53.3209593,-6.2752003
2510/21,53.325974,-6.2134657
WEB1350/21,53.3669488,-6.3046061
2540/21,53.3418001,-6.260682000000001
WEB1355/21,53.3886941,-6.2369539
2537/21,53.3818221,-6.2314457
2542/21,53.3377381,-6.2847783
2555/21,53.3736998,-6.2686996
WEB1368/21,53.3818955,-6.2165174
2543/21,53.3973016,-6.244961
2565/21,53.3197949,-6.2903696
WEB1383/21,53.3203872,-6.2935794
2582/21,53.3206583,-6.2579825
WEB1398/21,53.3225266,-6.2837384
WEB1400/21,53.3317157,-6.279489
2585/21,53.3891696,-6.2017332
WEB1411/21,53.3403853,-6.232531499999999
WEB1413/21,53.3981923,-6.1758917
2604/21,53.3279242,-6.2554288
2608/21,53.39596950000001,-6.2868913
2612/21,53.3305945,-6.255549299999999
WEB1433/21,53.3225266,-6.2837384
2628/21,53.3246176,-6.3051203
WEB1450/21,53.3259907,-6.2081216
WEB1455/21,53.3306023,-6.2109746
2638/21,53.3365237,-6.2691381
2642/21,53.405869,-6.163621
2645/21,53.39154509999999,-6.3123574
2653/21,53.3223734,-6.296454
WEB1477/21,53.35178519999999,-6.349728799999999
2661/21,53.380239,-6.198743899999999
WEB1491/21,53.3206949,-6.2106597
2674/21,53.31766229999999,-6.2339826
2681/21,53.3330935,-6.2435766
WEB1492/21,53.3277998,-6.2782448
2700/21,53.3610146,-6.188060999999999
2718/21,53.3194905,-6.2909814
DSDZ2705/21,53.34444209999999,-6.2375149
WEB1502/21,53.3931769,-6.3031969
WEB1167/21,53.3657652,-6.1803151
2270/21,53.3692174,-6.256730699999999
2732/21,53.4037146,-6.2119611
WEB1174/21,53.3748115,-6.2453677
2737/21,53.36827,-6.2981509
2027/21,53.30587269999999,-6.2804894
2269/21,53.3859249,-6.148345
WEB1525/21,53.37261119999999,-6.259446899999999
WEB1023/21,53.31449680000001,-6.245001999999999
WEB1029/21,53.3622954,-6.192618599999999
2286/21,53.3675759,-6.2058784
WEB1531/21,53.3772532,-6.2611118
2032/21,53.3910774,-6.1902604
WEB1185/21,53.330018,-6.2160327
2030/21,53.3357343,-6.326237099999999
WEB1034/21,53.324255,-6.3011479
WEB1188/21,53.3545822,-6.235853
WEB1193/21,53.3254164,-6.309815299999999
WEB1189/21,53.36189280000001,-6.2786292
WEB1548/21,53.327912,-6.3042073
2044/21,53.3668402,-6.1897784
2768/21,53.3321903,-6.2880226
2045/21,53.3790189,-6.271437100000001
2313/21,53.3910533,-6.2467476
2775/21,53.3712222,-6.2392524
2778/21,53.35143129999999,-6.3618166
WEB1551/21,53.3772532,-6.2611118
WEB1052/21,53.3648359,-6.2305462
WEB1556/21,53.3865985,-6.1942929
WEB1210/21,53.33750360000001,-6.357066499999999
2319/21,53.3793223,-6.282956899999999
DSDZ2798/21,53.34798900000001,-6.2294221
2792/21,53.3484455,-6.356960099999999
2087/21,53.3299574,-6.2543875
WEB1561/21,53.3921451,-6.2307931
2320/21,53.3595491,-6.2413173
DSDZ2084/21,53.3458477,-6.2391027
2808/21,53.3738614,-6.2578413
WEBDSDZ1071/21,53.3439662,-6.2346883
2095/21,53.39485519999999,-6.1857656
WEB1571/21,53.3739345,-6.245756
WEB1221/21,53.3785186,-6.2629575
2089/21,53.367085,-6.191343
2097/21,53.30842329999999,-6.2625192
2800/21,53.3860965,-6.3155714
2810/21,53.3582149,-6.250325399999999
2105/21,53.3790189,-6.271437100000001
WEB1235/21,53.3946619,-6.294843500000001
2108/21,53.36085079999999,-6.2392762
WEB1238/21,53.3643739,-6.196795000000001
2833/21,53.3760132,-6.235166899999999
2351/21,53.3984568,-6.153508500000001
WEB1085/21,53.38756,-6.1863449
WEB1248/21,53.3961408,-6.1707151
2115/21,53.3611137,-6.2808693
2831/21,53.3450953,-6.3516227
2364/21,53.3218302,-6.2081292
2836/21,53.3849113,-6.2138399
WEB1244/21,53.3053879,-6.2877277
WEB1089/21,53.3408504,-6.3630333
WEB1609/21,53.3248908,-6.262339799999999
2134/21,53.3292046,-6.230898
2846/21,53.32772319999999,-6.301802200000001
2380/21,53.3220553,-6.323945999999999
2138/21,53.3297648,-6.2553059
2157/21,53.33935839999999,-6.318612000000001
WEB1611/21,53.36923890000001,-6.189065599999999
WEB1614/21,53.3306338,-6.2672181
WEB1098/21,53.36429469999999,-6.2684203
WEB1265/21,53.3209593,-6.2752003
2391/21,53.335411,-6.2482745
2172/21,53.3750468,-6.3178337
2867/21,53.3474792,-6.260487200000001
2156/21,53.3345914,-6.2721665
WEB1277/21,53.3961408,-6.1707151
2177/21,53.33076149999999,-6.2749935
