application_number,latitude,longitude
2546/20,53.3656464,-6.3112092
2275/20,53.3347649,-6.2560113
4787/19,53.3432604,-6.2620657
WEB1192/20,53.3776488,-6.287058
4799/19,53.35616899999999,-6.2346528
2583/20,53.3463502,-6.2551419
DSDZ4808/19,53.3474963,-6.2285078
2507/20,53.31673019999999,-6.2918341
4833/19,53.3141417,-6.2896154
WEB1010/20,53.4004712,-6.2765451
4829/19,53.356972,-6.269280999999999
2301/20,53.37125229999999,-6.2604836
2612/20,53.3505204,-6.2509751
2610/20,53.360599,-6.2040073
2597/20,53.3367752,-6.2211187
2617/20,53.3422223,-6.264375500000001
WEB1013/20,53.3686157,-6.265882299999999
2317/20,53.3486381,-6.291191
2001/20,53.3853859,-6.2651986
2618/20,53.3755049,-6.231622400000001
WEB1103/20,53.369088,-6.2361797
2012/20,53.3399371,-6.2584936
WEB1019/20,53.3685825,-6.2046157
2330/20,53.38365959999999,-6.2177726
WEB1215/20,53.3858735,-6.230761999999999
WEB1026/20,53.3771768,-6.1737489
WEB1217/20,53.3173608,-6.2721934
2332/20,53.3496008,-6.2596479
WEB1111/20,53.3649789,-6.3113765
2032/20,53.3397995,-6.2234472
2039/20,53.3891172,-6.2517901
WEB1221/20,53.3132218,-6.2801222
2358/20,53.39220539999999,-6.2886715
WEB1027/20,53.3222433,-6.3294384
WEB1227/20,53.3832245,-6.2673787
2041/20,53.3738598,-6.2660174
2656/20,53.357135,-6.242997
2047/20,53.3814141,-6.2492695
WEB1121/20,53.3296946,-6.2428192
2057/20,53.3779481,-6.2789385
2065/20,53.3073791,-6.288822499999999
WEB1233/20,53.3602465,-6.2586533
2058/20,53.3748252,-6.1965834
WEB1242/20,53.3682394,-6.289102799999999
2382/20,53.3234195,-6.2583885
2669/20,53.3311201,-6.2649915
2081/20,53.3332055,-6.240505199999999
2674/20,53.3359313,-6.240776599999999
2682/20,53.3385303,-6.266542599999999
DSDZ2389/20,53.3404836,-6.239122399999999
2400/20,53.375406,-6.205020999999999
2092/20,53.3197336,-6.2755225
WEB1138/20,53.3798016,-6.205163499999999
2090/20,53.34785249999999,-6.318115199999999
2695/20,53.3664917,-6.2140819
2418/20,53.3293966,-6.2142819
2432/20,53.3958508,-6.2411562
WEB1254/20,53.3646592,-6.2308887
WEB1259/20,53.359614,-6.1918045
2691/20,53.3151588,-6.2618787
2119/20,53.3754475,-6.1856206
WEB1266/20,53.3253444,-6.3016678
2431/20,53.3832599,-6.2387703
2138/20,53.3778633,-6.273797099999999
2479/20,53.3482143,-6.2656231
2164/20,53.3296682,-6.233632399999999
2178/20,53.33264980000001,-6.263532
WEB1273/20,53.3402507,-6.234918899999999
2703/20,53.3901189,-6.29813
2717/20,53.3690019,-6.1862834
2443/20,53.37071599999999,-6.3240821
2122/20,53.3313372,-6.267456900000001
2722/20,53.3416061,-6.267976099999999
2452/20,53.3680467,-6.320413599999999
WEB1050/20,53.30879119999999,-6.2567606
WEB1292/20,53.3649484,-6.218172399999999
2146/20,53.3138295,-6.221152399999999
2438/20,53.34617859999999,-6.357246099999999
2163/20,53.3318096,-6.232065
2156/20,53.33442760000001,-6.2347198
WEB1871/20,53.3709979,-6.195840599999999
WEB1875/20,53.3769132,-6.2253428
WEB1874/20,53.3193948,-6.2157333
3801/20,53.3350027,-6.264938
WEB1885/20,53.376162,-6.269031099999999
3817/20,53.3415031,-6.2954419
WEB1892/20,53.3764534,-6.1729235
3844/20,53.3815202,-6.240448199999999
WEB1893/20,53.3776506,-6.198728
WEB1908/20,53.36806670000001,-6.251403799999999
WEB1913/20,53.36670520000001,-6.1945665
3861/20,53.3758355,-6.2254056
3864/20,53.3719609,-6.2647685
3865/20,53.40244,-6.216284
3867/20,53.3381534,-6.2505378
3875/20,53.3381425,-6.308805599999999
3889/20,53.34384619999999,-6.2630507
3898/20,53.3691791,-6.3228398
WEB1946/20,53.3897164,-6.309595300000001
3913/20,53.3780686,-6.3271922
3904/20,53.3282116,-6.2149833
3917/20,53.350536,-6.283604299999999
3918/20,53.3199726,-6.2591806
3937/20,53.3661896,-6.2071096
3934/20,53.3405858,-6.277593
WEB1970/20,53.37885679999999,-6.351127
WEB1972/20,53.3900964,-6.3092153
3938/20,53.3796342,-6.1857766
3958/20,53.3605555,-6.2480185
WEB1984/20,53.36613,-6.3003357
WEB1997/20,53.328823,-6.3184686
3979/20,53.3389219,-6.3082163
3974/20,53.3342464,-6.2909403
WEB1009/21,53.3353327,-6.222370799999999
3983/20,53.3877824,-6.297968200000001
3997/20,53.3317236,-6.259135499999999
4000/20,53.3269732,-6.2615734
WEB1013/21,53.3317715,-6.285512
4025/20,53.3579559,-6.2502986
4035/20,53.3261791,-6.256886000000001
WEB1437/20,53.3442806,-6.2652274
WEB1700/20,53.3148804,-6.2419904
WEB1304/20,53.36317099999999,-6.3042545
3245/20,53.3480512,-6.2426882
3258/20,53.3552388,-6.2736493
3252/20,53.3805142,-6.229699699999999
WEB1707/20,53.3914724,-6.3169599
2990/20,53.3412146,-6.32201
3574/20,53.3178131,-6.2792327
WEB1595/20,53.3131005,-6.276759699999999
3263/20,53.3735491,-6.321859
WEB1709/20,53.3570481,-6.2444294
3552/20,53.3284417,-6.2791367
WEB1319/20,53.37575,-6.2488157
WEB1719/20,53.3671211,-6.1857941
3264/20,53.36247969999999,-6.217306199999999
3589/20,53.3432869,-6.2696863
WEB1324/20,53.3652711,-6.2093456
3279/20,53.3059769,-6.2882643
2749/20,53.3490249,-6.24561
DSDZ2764/20,53.343857,-6.2325135
3267/20,53.3998605,-6.1586221
3288/20,53.3575715,-6.240108299999999
3052/20,53.3659398,-6.2656831
3565/20,53.3155146,-6.278997500000001
WEB1604/20,53.33410929999999,-6.2221414
3055/20,53.3271336,-6.2429483
2777/20,53.3765544,-6.237087199999999
3591/20,53.32817319999999,-6.2521312
3297/20,53.3753362,-6.207689299999999
3059/20,53.3912201,-6.2431604
WEB1332/20,53.36317099999999,-6.3042545
3047/20,53.3325662,-6.2892719
2790/20,53.3649363,-6.2140712
WEB1736/20,53.362403,-6.2027328
3611/20,53.35931919999999,-6.2808936
WEB1473/20,53.3790736,-6.2839588
WEB1478/20,53.35808060000001,-6.243799099999999
DSDZ2796/20,53.3476376,-6.235879799999999
3061/20,53.3542807,-6.2600842
2783/20,53.33094010000001,-6.2803853
3308/20,53.3705285,-6.2971189
3309/20,53.3738944,-6.2432039
3623/20,53.3820154,-6.2060379
WEB1486/20,53.3748993,-6.3206585
WEB1749/20,53.3884479,-6.276876199999999
3080/20,53.3124451,-6.269343999999999
WEB1702/20,53.3061282,-6.290905299999999
WEB1496/20,53.3047171,-6.2890897
3081/20,53.3695517,-6.1990932
WEB1616/20,53.363978,-6.2604603
3086/20,53.3269368,-6.2567911
WEB1497/20,53.311014,-6.2987791
3095/20,53.3494305,-6.278918399999999
WEB1502/20,53.3483986,-6.257178199999999
2834/20,53.3457282,-6.246308
WEB1350/20,53.3518181,-6.3511567
WEB1759/20,53.3638384,-6.263554699999999
WEB1505/20,53.3647867,-6.2371447
WEB1348/20,53.35831349999999,-6.303507199999999
3105/20,53.3977854,-6.200597699999999
WEB1513/20,53.3432106,-6.219051299999999
2862/20,53.3151416,-6.2597629
2839/20,53.3696791,-6.2248563
3332/20,53.3242373,-6.2885247
3312/20,53.3202762,-6.2425864
2850/20,53.33143099999999,-6.2544111
3659/20,53.35925959999999,-6.2427383
3118/20,53.3205609,-6.2446063
WEB1518/20,53.3801802,-6.2624755
WEB1766/20,53.3867632,-6.2806434
3673/20,53.3374731,-6.2345945
WEB1772/20,53.33344349999999,-6.214245699999999
WEB1377/20,53.36973,-6.2846741
WEB1531/20,53.31102259999999,-6.298886299999999
WEB1343/20,53.3931142,-6.2865438
2871/20,53.3268717,-6.2425858
2877/20,53.3427783,-6.280221000000001
WEB1383/20,53.39096420000001,-6.170927499999999
3133/20,53.3641422,-6.3066955
3131/20,53.36382150000001,-6.2106148
2883/20,53.3675654,-6.1805563
WEB1540/20,53.36403970000001,-6.181145799999999
2881/20,53.3480944,-6.346308199999999
3152/20,53.3316208,-6.217191499999999
3148/20,53.3318096,-6.232065
3149/20,53.3934058,-6.2570869
3696/20,53.3884154,-6.1825708
2907/20,53.3292723,-6.230903
3710/20,53.3731963,-6.3216958
3699/20,53.3339341,-6.2904095
2897/20,53.364549,-6.3143449
DSDZ3162/20,53.3500356,-6.2322118
3355/20,53.3459897,-6.2571216
2918/20,53.3529813,-6.3561668
WEB1797/20,53.3748263,-6.225967499999999
WEB1399/20,53.3818697,-6.222734
3701/20,53.3259832,-6.250272799999999
WEB1803/20,53.39103679999999,-6.2334638
WEB1550/20,53.380108,-6.190529400000001
3734/20,53.3369532,-6.259999
WEB1402/20,53.31525269999999,-6.251681700000001
3182/20,53.3372527,-6.3234543
WEB1404/20,53.3819469,-6.2232805
2931/20,53.3101956,-6.3021794
3202/20,53.3252315,-6.2528219
2934/20,53.3093212,-6.2572306
3187/20,53.3249542,-6.2069792
3185/20,53.3310277,-6.2698407
3744/20,53.3376415,-6.360729699999999
3721/20,53.3217018,-6.2786484
3199/20,53.3737751,-6.288294
3190/20,53.3900657,-6.257586499999999
WEB1564/20,53.39057709999999,-6.270074399999999
WEB1568/20,53.3382714,-6.2328655
WEB1840/20,53.32361419999999,-6.2207483
3362/20,53.38171670000001,-6.2480492
WEB1422/20,53.3748477,-6.2609458
3346/20,53.3123835,-6.2024088
3747/20,53.3372547,-6.2768814
2968/20,53.38683469999999,-6.3130048
3371/20,53.3529024,-6.2695273
3767/20,53.3409585,-6.2758517
2976/20,53.30587269999999,-6.2804894
WEB1848/20,51.50818959999999,-0.1427328
2977/20,53.33968489999999,-6.2781014
WEB1638/20,53.3781706,-6.2298597
WEB1431/20,53.3226164,-6.281103099999999
WEB1582/20,53.3717616,-6.2507948
2983/20,53.37535519999999,-6.181074799999999
2992/20,53.346231,-6.2606895
WEB1813/20,53.3320053,-6.323182399999999
3784/20,53.310139,-6.2739786
3779/20,53.36463,-6.1993434
3247/20,53.3423124,-6.295059699999999
WEB1592/20,53.3380915,-6.3255938
DSDZ3780/20,53.34118729999999,-6.2365714
3363/20,53.3605976,-6.2480249
