application_number,latitude,longitude
2545/20,53.3769773,-6.182813899999999
2273/20,53.3686278,-6.2241361
4789/19,53.3641032,-6.2431518
WEB1189/20,53.3659876,-6.3131968
WEB1008/20,53.33666299999999,-6.237743399999999
WEB1197/20,53.368503,-6.1892527
4807/19,53.3341462,-6.2476695
2294/20,53.3189297,-6.330645899999999
4831/19,53.32475489999999,-6.2530959
2603/20,53.32447209999999,-6.2961866
2354/20,53.3460415,-6.2763013
2313/20,53.3897207,-6.3095138
WEB1200/20,53.3274745,-6.2638922
2609/20,53.3213987,-6.2543609
4846/19,53.3317705,-6.2944588
2613/20,53.3221529,-6.252851300000001
2009/20,53.3584986,-6.2923824
2365/20,53.36354739999999,-6.258907799999999
4832/19,53.3736998,-6.2686996
2630/20,53.3440476,-6.2670053
2006/20,53.3213906,-6.264819800000001
GSDZ2010/20,53.36137240000001,-6.2917383
2331/20,53.36350909999999,-6.310960499999999
2339/20,53.3976775,-6.201452400000001
2017/20,53.3687309,-6.233523300000001
2018/20,53.3486874,-6.2601552
2643/20,53.3855771,-6.264643599999999
2326/20,53.37122,-6.280821
WEB1110/20,53.4003131,-6.1765805
2031/20,53.3993209,-6.1732596
2649/20,53.3129708,-6.269493199999999
WEB1219/20,53.382667,-6.203081099999999
2023/20,53.3122755,-6.277715
2646/20,53.3335658,-6.243754399999999
WEB1226/20,53.367981,-6.2096789
2412/20,53.3336219,-6.255978199999999
WEB1228/20,53.3979887,-6.3143563
2361/20,53.3170199,-6.2920134
WEB1116/20,53.3580538,-6.2423366
2064/20,53.3791721,-6.1724153
2063/20,53.3852898,-6.23365
2377/20,53.35796759999999,-6.256297099999999
2059/20,53.4014404,-6.2333868
WEB1241/20,53.371185,-6.2011599
2376/20,53.3422947,-6.2559572
2071/20,53.35019620000001,-6.1971584
WEB1031/20,53.39361479999999,-6.169989699999999
2385/20,53.4074539,-6.1673338
2388/20,53.3723168,-6.2025942
2387/20,53.38758360000001,-6.2463992
2688/20,53.3244781,-6.2796205
DSDZ2087/20,53.3474963,-6.2285078
2393/20,53.3650983,-6.2365556
2093/20,53.3221175,-6.2306326
DSDZ2690/20,53.3474732,-6.2314549
2413/20,53.3649415,-6.1782289
2089/20,53.3413042,-6.230584899999999
2693/20,53.3897172,-6.236522
2100/20,53.3354696,-6.267475399999999
2685/20,53.362352,-6.2503015
2118/20,53.3486874,-6.2601552
WEB1264/20,53.3299367,-6.209916799999999
2429/20,53.3281287,-6.3189245
2427/20,53.3285125,-6.3106807
2426/20,53.32396310000001,-6.246528899999999
2155/20,53.343142,-6.2934794
2169/20,53.3637403,-6.2750726
WEB1274/20,53.32589979999999,-6.208054100000001
2454/20,53.37760669999999,-6.2229281
2705/20,53.3845363,-6.2092192
2446/20,53.3087661,-6.256463999999999
2124/20,53.321763,-6.242490399999999
WEB1284/20,53.3601857,-6.1943753
WEB1048/20,53.3241965,-6.262219399999999
2133/20,53.3576477,-6.2428998
WEB1291/20,53.321227,-6.320534200000001
2470/20,53.3234195,-6.2583885
2436/20,53.3631335,-6.2139865
2732/20,53.39004929999999,-6.229701299999999
2143/20,53.3506114,-6.2327976
WEB1865/20,53.39090849999999,-6.25273
3777/20,53.3369532,-6.259999
WEB1872/20,53.3390755,-6.2332557
3823/20,53.3258892,-6.2532417
WEB1883/20,53.3485526,-6.2928261
3831/20,53.358956,-6.2823194
3839/20,53.3338034,-6.2454867
3834/20,53.3163864,-6.2323306
WEB1895/20,53.33603249999999,-6.275932300000001
3847/20,53.366975,-6.268789300000001
WEB1907/20,53.3648631,-6.2962842
3849/20,53.3384631,-6.275990699999999
3860/20,53.33667,-6.228610499999999
3856/20,53.35383760000001,-6.2579577
DSDZ3859/20,53.3470568,-6.232278699999999
3868/20,53.3259425,-6.267158900000001
3872/20,53.35001339999999,-6.2031163
3893/20,53.3805967,-6.1681554
3897/20,53.3370012,-6.2667317
3900/20,53.34145299999999,-6.248107000000001
3896/20,53.3771055,-6.1870895
WEB1954/20,53.3155949,-6.3026756
